Time,pins_0,pins_1,pins_2,pins_3,pins_4,pins_5,pins_6,pins_7,positive_width_us_0,positive_width_us_1,positive_width_us_2,positive_width_us_3,positive_width_us_4,positive_width_us_5,positive_width_us_6,positive_width_us_7
1619751033.7201548,0,1,2,3,4,5,6,7,1583,1526,1635,1601,1571,1525,1633,1554
1619751033.7202296,0,1,2,3,4,5,6,7,1584,1526,1635,1601,1572,1525,1633,1554
1619751033.7202964,0,1,2,3,4,5,6,7,1585,1526,1635,1603,1574,1525,1633,1556
1619751033.7530556,0,1,2,3,4,5,6,7,1585,1526,1635,1604,1575,1525,1633,1557
1619751033.8011644,0,1,2,3,4,5,6,7,1586,1526,1635,1604,1576,1525,1633,1558
1619751033.861678,0,1,2,3,4,5,6,7,1586,1526,1635,1604,1576,1525,1633,1557
1619751033.9005556,0,1,2,3,4,5,6,7,1585,1526,1635,1604,1576,1525,1633,1557
1619751033.955182,0,1,2,3,4,5,6,7,1584,1526,1635,1603,1575,1525,1633,1556
1619751034.0039015,0,1,2,3,4,5,6,7,1584,1526,1635,1602,1574,1525,1633,1555
1619751034.0492704,0,1,2,3,4,5,6,7,1582,1526,1635,1601,1573,1525,1633,1554
1619751034.1145957,0,1,2,3,4,5,6,7,1581,1526,1635,1601,1573,1525,1634,1552
1619751034.1539974,0,1,2,3,4,5,6,7,1580,1526,1635,1601,1572,1525,1634,1608
1619751034.2088695,0,1,2,3,4,5,6,7,1581,1526,1635,1600,1571,1525,1634,1607
1619751034.2504401,0,1,2,3,4,5,6,7,1581,1526,1635,1600,1571,1525,1634,1608
1619751034.305828,0,1,2,3,4,5,6,7,1582,1526,1635,1601,1572,1525,1634,1553
1619751034.3499596,0,1,2,3,4,5,6,7,1583,1526,1635,1602,1572,1525,1634,1553
1619751034.4079516,0,1,2,3,4,5,6,7,1583,1526,1635,1602,1572,1525,1634,1554
1619751034.45009,0,1,2,3,4,5,6,7,1583,1526,1635,1602,1572,1525,1634,1554
1619751034.4984047,0,1,2,3,4,5,6,7,1584,1526,1634,1602,1572,1525,1634,1554
1619751034.5579636,0,1,2,3,4,5,6,7,1585,1526,1634,1602,1572,1525,1634,1555
1619751034.60193,0,1,2,3,4,5,6,7,1586,1526,1634,1602,1571,1525,1634,1555
1619751034.650589,0,1,2,3,4,5,6,7,1586,1526,1634,1601,1570,1525,1634,1555
1619751034.7069273,0,1,2,3,4,5,6,7,1587,1526,1634,1602,1570,1525,1634,1556
1619751034.7505627,0,1,2,3,4,5,6,7,1588,1526,1634,1602,1569,1525,1634,1556
1619751034.8066874,0,1,2,3,4,5,6,7,1589,1527,1634,1602,1569,1525,1634,1556
1619751034.8516574,0,1,2,3,4,5,6,7,1590,1527,1634,1601,1568,1525,1634,1557
1619751034.9027264,0,1,2,3,4,5,6,7,1590,1527,1634,1601,1567,1525,1634,1557
1619751034.9509668,0,1,2,3,4,5,6,7,1590,1526,1634,1600,1566,1525,1634,1556
1619751035.0020838,0,1,2,3,4,5,6,7,1589,1527,1634,1599,1566,1525,1634,1555
1619751035.053615,0,1,2,3,4,5,6,7,1589,1527,1634,1598,1564,1525,1634,1555
1619751035.0997493,0,1,2,3,4,5,6,7,1589,1527,1634,1597,1563,1525,1634,1554
1619751035.1522539,0,1,2,3,4,5,6,7,1589,1527,1634,1597,1562,1525,1634,1554
1619751035.2035086,0,1,2,3,4,5,6,7,1590,1527,1634,1596,1560,1525,1634,1554
1619751035.2511334,0,1,2,3,4,5,6,7,1592,1527,1634,1597,1561,1525,1634,1556
1619751035.3014128,0,1,2,3,4,5,6,7,1595,1527,1634,1599,1563,1525,1634,1558
1619751035.3523583,0,1,2,3,4,5,6,7,1596,1527,1634,1600,1563,1525,1634,1559
1619751035.401626,0,1,2,3,4,5,6,7,1598,1527,1634,1601,1564,1525,1634,1560
1619751035.451049,0,1,2,3,4,5,6,7,1598,1527,1634,1602,1564,1525,1634,1560
1619751035.5029275,0,1,2,3,4,5,6,7,1598,1527,1634,1601,1563,1525,1634,1560
1619751035.5521724,0,1,2,3,4,5,6,7,1599,1527,1634,1600,1562,1525,1634,1560
1619751035.6038458,0,1,2,3,4,5,6,7,1598,1527,1634,1599,1560,1525,1634,1559
1619751035.650353,0,1,2,3,4,5,6,7,1597,1527,1634,1599,1560,1525,1634,1558
1619751035.7016206,0,1,2,3,4,5,6,7,1596,1526,1634,1598,1559,1525,1634,1558
1619751035.7537816,0,1,2,3,4,5,6,7,1596,1526,1634,1597,1558,1525,1634,1557
1619751035.8027444,0,1,2,3,4,5,6,7,1596,1526,1634,1597,1558,1525,1634,1557
1619751035.8516684,0,1,2,3,4,5,6,7,1596,1526,1634,1597,1558,1525,1634,1557
1619751035.9083188,0,1,2,3,4,5,6,7,1597,1526,1634,1597,1558,1525,1634,1558
1619751035.9575195,0,1,2,3,4,5,6,7,1597,1526,1634,1598,1558,1525,1634,1558
1619751036.003612,0,1,2,3,4,5,6,7,1597,1526,1634,1598,1559,1526,1634,1558
1619751036.0563126,0,1,2,3,4,5,6,7,1598,1526,1634,1597,1559,1526,1634,1559
1619751036.1044245,0,1,2,3,4,5,6,7,1597,1526,1635,1597,1559,1526,1633,1559
1619751036.1534607,0,1,2,3,4,5,6,7,1598,1526,1634,1598,1558,1526,1633,1558
1619751036.2023263,0,1,2,3,4,5,6,7,1598,1526,1635,1598,1559,1526,1633,1558
1619751036.2545094,0,1,2,3,4,5,6,7,1597,1526,1635,1599,1560,1526,1633,1558
1619751036.3031917,0,1,2,3,4,5,6,7,1597,1526,1635,1599,1560,1526,1633,1558
1619751036.354249,0,1,2,3,4,5,6,7,1596,1526,1635,1600,1561,1526,1633,1557
1619751036.4020991,0,1,2,3,4,5,6,7,1596,1526,1635,1600,1561,1526,1633,1557
1619751036.4516795,0,1,2,3,4,5,6,7,1596,1526,1635,1601,1561,1526,1633,1556
1619751036.5049531,0,1,2,3,4,5,6,7,1596,1526,1635,1601,1561,1526,1633,1556
1619751036.5534139,0,1,2,3,4,5,6,7,1595,1526,1635,1602,1562,1526,1633,1556
1619751036.599469,0,1,2,3,4,5,6,7,1595,1526,1635,1602,1563,1526,1633,1555
1619751036.6521661,0,1,2,3,4,5,6,7,1592,1526,1635,1604,1564,1526,1633,1552
1619751036.7014856,0,1,2,3,4,5,6,7,1591,1526,1635,1604,1563,1526,1633,1606
1619751036.7526674,0,1,2,3,4,5,6,7,1589,1526,1635,1605,1563,1526,1633,1604
1619751036.8018823,0,1,2,3,4,5,6,7,1588,1526,1635,1605,1563,1526,1633,1604
1619751036.8603997,0,1,2,3,4,5,6,7,1586,1526,1635,1601,1565,1526,1633,1606
1619751036.8998895,0,1,2,3,4,5,6,7,1586,1526,1635,1603,1567,1526,1633,1606
1619751036.9494479,0,1,2,3,4,5,6,7,1585,1526,1635,1603,1568,1526,1633,1606
1619751036.999847,0,1,2,3,4,5,6,7,1584,1526,1635,1603,1568,1526,1633,1606
1619751037.049492,0,1,2,3,4,5,6,7,1583,1526,1635,1602,1568,1526,1633,1605
1619751037.1012306,0,1,2,3,4,5,6,7,1580,1526,1635,1601,1567,1526,1633,1603
1619751037.1635983,0,1,2,3,4,5,6,7,1579,1526,1635,1599,1564,1526,1633,1602
1619751037.2028255,0,1,2,3,4,5,6,7,1577,1526,1635,1597,1563,1526,1633,1600
1619751037.2528667,0,1,2,3,4,5,6,7,1575,1526,1635,1599,1563,1526,1633,1597
1619751037.3074636,0,1,2,3,4,5,6,7,1574,1526,1635,1599,1564,1526,1633,1597
1619751037.3529267,0,1,2,3,4,5,6,7,1575,1526,1635,1599,1564,1526,1633,1597
1619751037.4044576,0,1,2,3,4,5,6,7,1575,1526,1635,1600,1566,1526,1633,1598
1619751037.4449573,0,1,2,3,4,5,6,7,1576,1526,1635,1601,1567,1526,1633,1599
1619751037.5021133,0,1,2,3,4,5,6,7,1576,1526,1635,1602,1568,1526,1633,1600
1619751037.5577269,0,1,2,3,4,5,6,7,1576,1527,1635,1602,1569,1526,1633,1600
1619751037.614118,0,1,2,3,4,5,6,7,1577,1527,1635,1602,1569,1526,1633,1601
1619751037.665111,0,1,2,3,4,5,6,7,1577,1527,1635,1602,1570,1526,1633,1601
1619751037.7159996,0,1,2,3,4,5,6,7,1575,1527,1635,1601,1569,1525,1633,1600
1619751037.7587142,0,1,2,3,4,5,6,7,1575,1527,1635,1600,1569,1525,1633,1600
1619751037.8221028,0,1,2,3,4,5,6,7,1574,1527,1635,1600,1569,1525,1633,1600
1619751037.8686779,0,1,2,3,4,5,6,7,1574,1527,1635,1599,1569,1525,1633,1600
1619751037.9119575,0,1,2,3,4,5,6,7,1574,1527,1635,1598,1568,1525,1633,1601
1619751037.9564946,0,1,2,3,4,5,6,7,1574,1527,1635,1597,1567,1525,1633,1601
1619751038.0101051,0,1,2,3,4,5,6,7,1574,1527,1635,1597,1567,1525,1634,1601
1619751038.0653903,0,1,2,3,4,5,6,7,1574,1527,1635,1596,1567,1525,1634,1601
1619751038.1137686,0,1,2,3,4,5,6,7,1574,1527,1635,1596,1568,1525,1634,1602
1619751038.1567693,0,1,2,3,4,5,6,7,1574,1527,1634,1596,1568,1525,1634,1603
1619751038.2117674,0,1,2,3,4,5,6,7,1575,1527,1634,1596,1569,1525,1634,1605
1619751038.2638752,0,1,2,3,4,5,6,7,1576,1527,1634,1596,1569,1525,1634,1605
1619751038.3136687,0,1,2,3,4,5,6,7,1577,1527,1634,1596,1569,1525,1634,1606
1619751038.3549945,0,1,2,3,4,5,6,7,1578,1527,1634,1596,1569,1525,1634,1607
1619751038.4182098,0,1,2,3,4,5,6,7,1579,1527,1634,1595,1568,1525,1634,1552
1619751038.4482641,0,1,2,3,4,5,6,7,1580,1527,1634,1595,1568,1525,1634,1553
1619751038.5033224,0,1,2,3,4,5,6,7,1581,1527,1634,1595,1568,1525,1634,1553
1619751038.555179,0,1,2,3,4,5,6,7,1581,1527,1634,1594,1567,1525,1634,1554
1619751038.6038058,0,1,2,3,4,5,6,7,1581,1527,1634,1594,1567,1525,1634,1555
1619751038.6524305,0,1,2,3,4,5,6,7,1582,1527,1634,1593,1567,1525,1634,1555
1619751038.7067506,0,1,2,3,4,5,6,7,1581,1527,1634,1591,1564,1525,1634,1554
1619751038.7508225,0,1,2,3,4,5,6,7,1544,1635,1519,1545,1520,1641,1525,1519
1619751038.8010354,0,1,2,3,4,5,6,7,1470,1631,1515,1471,1454,1645,1529,1453
1619751038.8536084,0,1,2,3,4,5,6,7,1490,1629,1513,1490,1459,1647,1531,1459
1619751038.8997986,0,1,2,3,4,5,6,7,1499,1628,1512,1499,1462,1648,1532,1462
1619751038.949884,0,1,2,3,4,5,6,7,1518,1625,1511,1519,1467,1649,1535,1467
1619751039.0026162,0,1,2,3,4,5,6,7,1543,1623,1509,1544,1474,1651,1537,1473
1619751039.0566652,0,1,2,3,4,5,6,7,1623,1621,1508,1624,1482,1652,1539,1481
1619751039.0988452,0,1,2,3,4,5,6,7,1644,1620,1507,1644,1490,1653,1540,1489
1619751039.1536076,0,1,2,3,4,5,6,7,1657,1618,1507,1658,1499,1653,1542,1498
1619751039.2028372,0,1,2,3,4,5,6,7,1668,1616,1506,1670,1505,1654,1544,1504
1619751039.2518773,0,1,2,3,4,5,6,7,1677,1615,1506,1679,1512,1654,1545,1510
1619751039.3015738,0,1,2,3,4,5,6,7,1687,1614,1505,1688,1520,1655,1546,1517
1619751039.356813,0,1,2,3,4,5,6,7,1696,1613,1505,1697,1527,1655,1547,1524
1619751039.3998249,0,1,2,3,4,5,6,7,1697,1612,1505,1699,1528,1655,1548,1526
1619751039.4498117,0,1,2,3,4,5,6,7,1702,1603,1505,1703,1533,1655,1557,1530
1619751039.501427,0,1,2,3,4,5,6,7,1705,1588,1505,1706,1535,1655,1572,1533
1619751039.554829,0,1,2,3,4,5,6,7,1707,1580,1504,1708,1534,1656,1580,1532
1619751039.6015594,0,1,2,3,4,5,6,7,1706,1567,1504,1707,1530,1656,1593,1529
1619751039.649462,0,1,2,3,4,5,6,7,1703,1557,1505,1702,1522,1655,1603,1523
1619751039.7056072,0,1,2,3,4,5,6,7,1703,1607,1505,1700,1519,1655,1553,1523
