Time,pins_0,pins_1,pins_2,pins_3,pins_4,pins_5,pins_6,pins_7,positive_width_us_0,positive_width_us_1,positive_width_us_2,positive_width_us_3,positive_width_us_4,positive_width_us_5,positive_width_us_6,positive_width_us_7
1619751433.993371,0,1,2,3,4,5,6,7,1572,1523,1638,1548,1584,1530,1629,1610
1619751433.9934576,0,1,2,3,4,5,6,7,1570,1523,1638,1548,1583,1530,1629,1609
1619751433.9935327,0,1,2,3,4,5,6,7,1569,1523,1638,1548,1582,1530,1629,1608
1619751433.9936044,0,1,2,3,4,5,6,7,1568,1523,1638,1548,1583,1530,1629,1609
1619751434.0208073,0,1,2,3,4,5,6,7,1568,1522,1638,1548,1583,1530,1629,1609
1619751434.0679898,0,1,2,3,4,5,6,7,1565,1522,1638,1548,1584,1530,1629,1608
1619751434.1196318,0,1,2,3,4,5,6,7,1564,1522,1638,1548,1584,1530,1629,1607
1619751434.1775239,0,1,2,3,4,5,6,7,1564,1522,1638,1548,1585,1531,1629,1607
1619751434.2186432,0,1,2,3,4,5,6,7,1563,1522,1638,1548,1584,1531,1629,1607
1619751434.2684865,0,1,2,3,4,5,6,7,1565,1522,1638,1548,1584,1531,1629,1608
1619751434.31705,0,1,2,3,4,5,6,7,1562,1522,1638,1547,1584,1531,1629,1608
1619751434.3715775,0,1,2,3,4,5,6,7,1562,1522,1638,1548,1585,1531,1628,1606
1619751434.4224243,0,1,2,3,4,5,6,7,1562,1522,1639,1547,1584,1531,1628,1606
1619751434.4732556,0,1,2,3,4,5,6,7,1561,1522,1639,1548,1585,1531,1628,1605
1619751434.5208623,0,1,2,3,4,5,6,7,1561,1522,1639,1548,1585,1532,1628,1605
1619751434.5692666,0,1,2,3,4,5,6,7,1561,1521,1639,1548,1584,1532,1628,1605
1619751434.619519,0,1,2,3,4,5,6,7,1560,1521,1639,1548,1585,1532,1627,1604
1619751434.6699421,0,1,2,3,4,5,6,7,1561,1521,1639,1548,1584,1532,1627,1603
1619751434.7199001,0,1,2,3,4,5,6,7,1561,1521,1639,1548,1584,1532,1627,1602
1619751434.7684193,0,1,2,3,4,5,6,7,1561,1521,1639,1548,1584,1532,1627,1602
1619751434.8220122,0,1,2,3,4,5,6,7,1558,1521,1640,1548,1585,1533,1627,1602
1619751434.8676004,0,1,2,3,4,5,6,7,1561,1521,1640,1548,1585,1533,1627,1603
1619751434.922018,0,1,2,3,4,5,6,7,1561,1521,1640,1548,1586,1533,1626,1603
1619751434.969122,0,1,2,3,4,5,6,7,1562,1521,1640,1548,1588,1533,1626,1604
1619751435.01896,0,1,2,3,4,5,6,7,1561,1521,1640,1548,1590,1533,1626,1606
1619751435.0680265,0,1,2,3,4,5,6,7,1564,1521,1640,1548,1591,1533,1626,1608
1619751435.1238573,0,1,2,3,4,5,6,7,1563,1521,1640,1548,1593,1533,1626,1609
1619751435.17169,0,1,2,3,4,5,6,7,1564,1520,1640,1548,1594,1533,1626,1612
1619751435.2187085,0,1,2,3,4,5,6,7,1564,1521,1640,1548,1596,1533,1626,1612
1619751435.2665472,0,1,2,3,4,5,6,7,1564,1521,1640,1548,1596,1533,1626,1612
1619751435.3257716,0,1,2,3,4,5,6,7,1563,1520,1640,1548,1596,1533,1626,1612
1619751435.3687282,0,1,2,3,4,5,6,7,1563,1521,1640,1548,1596,1533,1626,1612
1619751435.4250762,0,1,2,3,4,5,6,7,1563,1521,1640,1548,1596,1533,1626,1612
1619751435.4711819,0,1,2,3,4,5,6,7,1563,1521,1640,1548,1596,1533,1627,1612
1619751435.5221732,0,1,2,3,4,5,6,7,1562,1521,1640,1548,1597,1533,1627,1612
1619751435.57185,0,1,2,3,4,5,6,7,1562,1521,1639,1548,1597,1532,1627,1611
1619751435.617764,0,1,2,3,4,5,6,7,1562,1521,1639,1548,1597,1532,1627,1612
1619751435.6674778,0,1,2,3,4,5,6,7,1563,1521,1639,1549,1597,1532,1627,1611
1619751435.7241964,0,1,2,3,4,5,6,7,1563,1521,1639,1549,1597,1532,1627,1611
1619751435.7684767,0,1,2,3,4,5,6,7,1563,1522,1639,1550,1597,1532,1627,1610
1619751435.8180819,0,1,2,3,4,5,6,7,1562,1522,1639,1550,1597,1532,1628,1609
1619751435.8679616,0,1,2,3,4,5,6,7,1562,1522,1639,1551,1597,1532,1628,1608
1619751435.9170585,0,1,2,3,4,5,6,7,1561,1522,1639,1551,1597,1531,1628,1608
1619751435.972546,0,1,2,3,4,5,6,7,1561,1522,1639,1552,1598,1531,1628,1607
1619751436.020167,0,1,2,3,4,5,6,7,1560,1522,1638,1552,1598,1531,1628,1606
1619751436.0707684,0,1,2,3,4,5,6,7,1559,1522,1638,1552,1598,1531,1628,1605
1619751436.1200905,0,1,2,3,4,5,6,7,1558,1522,1638,1552,1597,1531,1628,1603
1619751436.1676455,0,1,2,3,4,5,6,7,1556,1522,1638,1551,1596,1531,1629,1601
1619751436.2224264,0,1,2,3,4,5,6,7,1555,1523,1638,1551,1595,1531,1629,1599
1619751436.2681737,0,1,2,3,4,5,6,7,1553,1523,1638,1550,1594,1530,1629,1598
1619751436.3174372,0,1,2,3,4,5,6,7,1551,1523,1638,1549,1594,1530,1629,1597
1619751436.3678074,0,1,2,3,4,5,6,7,1551,1523,1638,1549,1595,1530,1629,1597
1619751436.4191465,0,1,2,3,4,5,6,7,1550,1523,1638,1549,1595,1530,1629,1597
1619751436.4685652,0,1,2,3,4,5,6,7,1550,1523,1638,1548,1596,1530,1629,1597
1619751436.5185719,0,1,2,3,4,5,6,7,1550,1523,1638,1548,1597,1530,1629,1599
1619751436.5707417,0,1,2,3,4,5,6,7,1551,1523,1638,1549,1599,1530,1629,1601
1619751436.6216223,0,1,2,3,4,5,6,7,1551,1523,1638,1549,1600,1530,1629,1602
1619751436.67114,0,1,2,3,4,5,6,7,1553,1523,1638,1551,1602,1530,1629,1605
1619751436.7186222,0,1,2,3,4,5,6,7,1557,1523,1638,1553,1605,1530,1629,1609
1619751436.7705798,0,1,2,3,4,5,6,7,1558,1523,1638,1554,1607,1530,1629,1612
1619751436.8198726,0,1,2,3,4,5,6,7,1559,1523,1638,1554,1608,1531,1628,1612
1619751436.8676302,0,1,2,3,4,5,6,7,1556,1522,1638,1551,1608,1531,1628,1612
1619751436.9180143,0,1,2,3,4,5,6,7,1556,1522,1638,1549,1604,1531,1628,1611
1619751436.9676778,0,1,2,3,4,5,6,7,1551,1522,1639,1548,1600,1531,1628,1609
1619751437.0199919,0,1,2,3,4,5,6,7,1548,1522,1639,1547,1597,1531,1628,1606
1619751437.073836,0,1,2,3,4,5,6,7,1548,1522,1639,1547,1595,1531,1628,1605
1619751437.1174526,0,1,2,3,4,5,6,7,1548,1522,1639,1547,1591,1532,1627,1602
1619751437.171897,0,1,2,3,4,5,6,7,1548,1522,1639,1547,1588,1532,1627,1601
1619751437.2126205,0,1,2,3,4,5,6,7,1548,1522,1639,1547,1587,1532,1627,1601
1619751437.2764337,0,1,2,3,4,5,6,7,1548,1522,1639,1547,1588,1532,1627,1603
1619751437.32939,0,1,2,3,4,5,6,7,1551,1521,1639,1547,1588,1532,1626,1605
1619751437.3723574,0,1,2,3,4,5,6,7,1554,1521,1640,1547,1589,1532,1626,1608
1619751437.428445,0,1,2,3,4,5,6,7,1557,1521,1640,1547,1590,1532,1626,1610
1619751437.4730928,0,1,2,3,4,5,6,7,1561,1521,1640,1547,1592,1533,1626,1612
1619751437.5247653,0,1,2,3,4,5,6,7,1564,1521,1640,1547,1593,1533,1626,1612
1619751437.5929577,0,1,2,3,4,5,6,7,1567,1521,1640,1547,1590,1533,1626,1612
1619751437.6244164,0,1,2,3,4,5,6,7,1567,1521,1640,1547,1590,1533,1626,1612
1619751437.6838102,0,1,2,3,4,5,6,7,1566,1521,1640,1547,1590,1533,1626,1612
1619751437.7215815,0,1,2,3,4,5,6,7,1566,1521,1640,1547,1589,1533,1626,1612
1619751437.7745306,0,1,2,3,4,5,6,7,1567,1521,1640,1547,1588,1533,1626,1612
1619751437.8206627,0,1,2,3,4,5,6,7,1569,1521,1640,1547,1586,1533,1626,1612
1619751437.870971,0,1,2,3,4,5,6,7,1571,1521,1640,1547,1584,1533,1626,1612
1619751437.9220672,0,1,2,3,4,5,6,7,1569,1521,1640,1547,1585,1533,1626,1612
1619751437.9717865,0,1,2,3,4,5,6,7,1569,1521,1640,1547,1585,1533,1626,1612
1619751438.02464,0,1,2,3,4,5,6,7,1568,1521,1640,1547,1585,1533,1626,1612
1619751438.0755057,0,1,2,3,4,5,6,7,1569,1521,1640,1547,1585,1533,1626,1612
1619751438.121622,0,1,2,3,4,5,6,7,1570,1521,1640,1547,1583,1533,1626,1612
1619751438.17882,0,1,2,3,4,5,6,7,1570,1521,1639,1547,1582,1532,1626,1612
1619751438.2284875,0,1,2,3,4,5,6,7,1570,1521,1639,1547,1581,1532,1627,1612
1619751438.2742321,0,1,2,3,4,5,6,7,1570,1521,1639,1547,1580,1532,1627,1612
1619751438.3248038,0,1,2,3,4,5,6,7,1570,1522,1639,1547,1580,1532,1627,1612
1619751438.3745399,0,1,2,3,4,5,6,7,1570,1522,1639,1547,1579,1532,1627,1612
1619751438.4290078,0,1,2,3,4,5,6,7,1570,1522,1639,1547,1579,1532,1627,1612
1619751438.474623,0,1,2,3,4,5,6,7,1570,1522,1639,1547,1578,1531,1627,1612
1619751438.5221343,0,1,2,3,4,5,6,7,1570,1522,1639,1547,1577,1531,1628,1612
