Time,pins_0,pins_1,pins_2,pins_3,pins_4,pins_5,pins_6,pins_7,positive_width_us_0,positive_width_us_1,positive_width_us_2,positive_width_us_3,positive_width_us_4,positive_width_us_5,positive_width_us_6,positive_width_us_7
1619822977.4072976,0,1,2,3,4,5,6,7,1559,1528,1634,1578,1599,1526,1633,1579
1619822977.4073365,0,1,2,3,4,5,6,7,1559,1528,1634,1578,1599,1526,1633,1580
1619822977.4284866,0,1,2,3,4,5,6,7,1559,1528,1634,1578,1599,1526,1633,1580
1619822977.480341,0,1,2,3,4,5,6,7,1559,1528,1634,1578,1600,1526,1633,1580
1619822977.528868,0,1,2,3,4,5,6,7,1558,1528,1634,1578,1600,1526,1633,1580
1619822977.60608,0,1,2,3,4,5,6,7,1558,1528,1634,1578,1601,1526,1632,1581
1619822977.627211,0,1,2,3,4,5,6,7,1558,1528,1634,1578,1601,1526,1632,1581
1619822977.6765876,0,1,2,3,4,5,6,7,1558,1528,1634,1578,1601,1526,1632,1581
1619822977.730694,0,1,2,3,4,5,6,7,1558,1528,1634,1578,1601,1526,1632,1581
1619822977.7768235,0,1,2,3,4,5,6,7,1557,1528,1634,1577,1601,1526,1632,1581
1619822977.828112,0,1,2,3,4,5,6,7,1556,1528,1634,1577,1601,1526,1632,1580
1619822977.8764875,0,1,2,3,4,5,6,7,1556,1528,1634,1576,1601,1526,1632,1580
1619822977.930172,0,1,2,3,4,5,6,7,1555,1528,1634,1576,1601,1526,1632,1580
1619822977.98014,0,1,2,3,4,5,6,7,1555,1528,1634,1576,1601,1526,1632,1579
1619822978.029819,0,1,2,3,4,5,6,7,1554,1528,1634,1576,1601,1526,1632,1579
1619822978.0800593,0,1,2,3,4,5,6,7,1554,1528,1633,1575,1601,1526,1632,1579
1619822978.125661,0,1,2,3,4,5,6,7,1553,1528,1633,1575,1601,1526,1632,1578
1619822978.176354,0,1,2,3,4,5,6,7,1553,1528,1633,1575,1601,1527,1632,1578
1619822978.2303178,0,1,2,3,4,5,6,7,1554,1528,1633,1576,1602,1527,1632,1579
1619822978.2759984,0,1,2,3,4,5,6,7,1554,1528,1633,1576,1602,1527,1632,1579
1619822978.3316548,0,1,2,3,4,5,6,7,1554,1528,1633,1577,1603,1527,1632,1579
1619822978.375712,0,1,2,3,4,5,6,7,1554,1528,1633,1578,1603,1527,1632,1579
1619822978.43578,0,1,2,3,4,5,6,7,1554,1528,1633,1578,1603,1527,1632,1579
1619822978.4808779,0,1,2,3,4,5,6,7,1554,1528,1633,1578,1604,1527,1632,1579
