Time,pins_0,pins_1,pins_2,pins_3,pins_4,pins_5,pins_6,pins_7,positive_width_us_0,positive_width_us_1,positive_width_us_2,positive_width_us_3,positive_width_us_4,positive_width_us_5,positive_width_us_6,positive_width_us_7
1619745400.7825303,0,1,2,3,4,5,6,7,1597,1525,1636,1547,1560,1524,1635,1612
1619745400.7825937,0,1,2,3,4,5,6,7,1596,1525,1635,1547,1560,1525,1635,1612
1619745400.7826297,0,1,2,3,4,5,6,7,1596,1525,1636,1547,1562,1524,1635,1613
1619745400.8073764,0,1,2,3,4,5,6,7,1596,1525,1636,1547,1562,1524,1635,1613
1619745400.8547988,0,1,2,3,4,5,6,7,1598,1525,1635,1547,1562,1525,1635,1613
1619745400.9008446,0,1,2,3,4,5,6,7,1598,1525,1635,1547,1563,1525,1635,1613
1619745400.9494684,0,1,2,3,4,5,6,7,1600,1525,1635,1547,1563,1525,1635,1613
1619745401.0106764,0,1,2,3,4,5,6,7,1601,1525,1635,1547,1563,1525,1635,1613
1619745401.0486455,0,1,2,3,4,5,6,7,1601,1525,1635,1547,1564,1525,1635,1613
1619745401.098828,0,1,2,3,4,5,6,7,1602,1525,1635,1547,1565,1525,1635,1613
1619745401.1508574,0,1,2,3,4,5,6,7,1602,1525,1635,1547,1566,1525,1635,1613
1619745401.2007048,0,1,2,3,4,5,6,7,1602,1525,1635,1547,1565,1525,1635,1613
1619745401.2498224,0,1,2,3,4,5,6,7,1601,1525,1635,1547,1565,1525,1635,1613
1619745401.3180127,0,1,2,3,4,5,6,7,1601,1525,1635,1547,1564,1525,1635,1613
1619745401.3541732,0,1,2,3,4,5,6,7,1600,1525,1635,1547,1564,1525,1635,1613
1619745401.4006698,0,1,2,3,4,5,6,7,1600,1525,1635,1547,1564,1525,1635,1613
1619745401.4534898,0,1,2,3,4,5,6,7,1599,1525,1635,1547,1564,1525,1635,1613
1619745401.5012476,0,1,2,3,4,5,6,7,1598,1525,1635,1547,1564,1525,1635,1613
1619745401.5495431,0,1,2,3,4,5,6,7,1598,1526,1635,1547,1564,1525,1634,1613
1619745401.6002445,0,1,2,3,4,5,6,7,1599,1526,1635,1547,1562,1525,1634,1613
1619745401.650855,0,1,2,3,4,5,6,7,1599,1526,1635,1547,1563,1525,1634,1613
1619745401.7031817,0,1,2,3,4,5,6,7,1600,1526,1635,1547,1564,1525,1634,1613
1619745401.7501156,0,1,2,3,4,5,6,7,1601,1526,1635,1547,1565,1525,1634,1614
1619745401.8072143,0,1,2,3,4,5,6,7,1599,1526,1635,1547,1568,1525,1634,1614
1619745401.8511586,0,1,2,3,4,5,6,7,1600,1526,1635,1547,1569,1525,1634,1614
1619745401.904745,0,1,2,3,4,5,6,7,1600,1526,1635,1547,1570,1525,1634,1614
1619745401.9519,0,1,2,3,4,5,6,7,1600,1526,1635,1547,1570,1525,1634,1614
1619745402.0036087,0,1,2,3,4,5,6,7,1599,1526,1635,1547,1570,1525,1634,1614
1619745402.0504575,0,1,2,3,4,5,6,7,1600,1526,1635,1547,1571,1525,1634,1614
1619745402.1045535,0,1,2,3,4,5,6,7,1600,1526,1635,1547,1571,1525,1634,1614
1619745402.1566014,0,1,2,3,4,5,6,7,1600,1526,1634,1547,1571,1526,1634,1614
1619745402.2014406,0,1,2,3,4,5,6,7,1600,1526,1634,1547,1572,1526,1634,1614
1619745402.2518811,0,1,2,3,4,5,6,7,1600,1526,1634,1547,1572,1526,1634,1614
1619745402.3035603,0,1,2,3,4,5,6,7,1600,1526,1634,1547,1572,1526,1634,1614
1619745402.3533926,0,1,2,3,4,5,6,7,1599,1526,1634,1547,1572,1526,1634,1614
1619745402.399116,0,1,2,3,4,5,6,7,1598,1526,1634,1547,1573,1526,1634,1614
1619745402.4500542,0,1,2,3,4,5,6,7,1599,1526,1634,1547,1572,1526,1634,1615
1619745402.5000207,0,1,2,3,4,5,6,7,1597,1527,1634,1546,1573,1526,1633,1615
1619745402.5503542,0,1,2,3,4,5,6,7,1597,1527,1634,1546,1574,1526,1633,1615
1619745402.60279,0,1,2,3,4,5,6,7,1599,1527,1634,1546,1575,1526,1633,1615
1619745402.654383,0,1,2,3,4,5,6,7,1598,1527,1634,1546,1577,1526,1633,1615
1619745402.6996546,0,1,2,3,4,5,6,7,1599,1527,1634,1546,1577,1526,1633,1615
1619745402.7500565,0,1,2,3,4,5,6,7,1600,1527,1634,1546,1578,1526,1633,1615
