Time,pins_0,pins_1,pins_2,pins_3,pins_4,pins_5,pins_6,pins_7,positive_width_us_0,positive_width_us_1,positive_width_us_2,positive_width_us_3,positive_width_us_4,positive_width_us_5,positive_width_us_6,positive_width_us_7
1619747750.5463433,0,1,2,3,4,5,6,7,1593,1520,1639,1548,1552,1533,1628,1596
1619747750.5464315,0,1,2,3,4,5,6,7,1593,1520,1639,1548,1552,1533,1628,1598
1619747750.5464704,0,1,2,3,4,5,6,7,1593,1520,1639,1548,1553,1533,1628,1599
1619747750.582107,0,1,2,3,4,5,6,7,1595,1520,1639,1548,1554,1533,1628,1602
1619747750.6272588,0,1,2,3,4,5,6,7,1597,1520,1640,1548,1556,1533,1628,1604
1619747750.6834364,0,1,2,3,4,5,6,7,1598,1520,1640,1548,1556,1534,1627,1606
1619747750.7287078,0,1,2,3,4,5,6,7,1600,1519,1640,1548,1557,1534,1627,1610
1619747750.7786198,0,1,2,3,4,5,6,7,1601,1519,1640,1548,1558,1534,1627,1610
1619747750.8263514,0,1,2,3,4,5,6,7,1602,1519,1640,1550,1559,1534,1627,1612
1619747750.8780332,0,1,2,3,4,5,6,7,1604,1519,1640,1550,1560,1534,1627,1612
1619747750.9317524,0,1,2,3,4,5,6,7,1604,1519,1640,1550,1561,1534,1627,1612
1619747750.9804308,0,1,2,3,4,5,6,7,1604,1519,1640,1549,1560,1534,1627,1612
1619747751.0272157,0,1,2,3,4,5,6,7,1603,1519,1640,1548,1559,1534,1627,1612
1619747751.0854862,0,1,2,3,4,5,6,7,1601,1519,1640,1548,1558,1534,1627,1612
1619747751.1263,0,1,2,3,4,5,6,7,1600,1519,1640,1548,1557,1534,1627,1612
1619747751.1788385,0,1,2,3,4,5,6,7,1599,1519,1640,1548,1557,1534,1627,1611
1619747751.2294967,0,1,2,3,4,5,6,7,1602,1519,1640,1547,1552,1534,1627,1612
1619747751.2802052,0,1,2,3,4,5,6,7,1600,1519,1640,1547,1551,1533,1628,1612
1619747751.3269522,0,1,2,3,4,5,6,7,1595,1520,1640,1548,1555,1534,1628,1606
1619747751.3795216,0,1,2,3,4,5,6,7,1594,1520,1639,1548,1555,1533,1628,1605
1619747751.4312408,0,1,2,3,4,5,6,7,1592,1520,1639,1548,1555,1533,1628,1603
1619747751.4778597,0,1,2,3,4,5,6,7,1595,1520,1639,1547,1549,1533,1628,1607
1619747751.5307207,0,1,2,3,4,5,6,7,1590,1520,1639,1548,1554,1533,1628,1600
1619747751.57734,0,1,2,3,4,5,6,7,1590,1520,1639,1548,1554,1533,1629,1599
1619747751.629763,0,1,2,3,4,5,6,7,1590,1521,1639,1548,1555,1532,1629,1602
1619747751.6781433,0,1,2,3,4,5,6,7,1591,1521,1639,1548,1557,1532,1629,1603
1619747751.7291548,0,1,2,3,4,5,6,7,1592,1521,1638,1548,1558,1532,1629,1604
1619747751.7766922,0,1,2,3,4,5,6,7,1594,1521,1638,1548,1559,1532,1629,1605
1619747751.8325186,0,1,2,3,4,5,6,7,1595,1521,1638,1549,1561,1532,1630,1606
1619747751.877812,0,1,2,3,4,5,6,7,1596,1521,1638,1551,1562,1531,1630,1607
1619747751.92649,0,1,2,3,4,5,6,7,1597,1521,1638,1552,1563,1531,1630,1608
1619747751.9783723,0,1,2,3,4,5,6,7,1598,1521,1638,1554,1564,1531,1630,1609
1619747752.026084,0,1,2,3,4,5,6,7,1599,1522,1638,1555,1564,1531,1630,1609
1619747752.0788634,0,1,2,3,4,5,6,7,1598,1522,1637,1554,1564,1531,1631,1608
1619747752.1273942,0,1,2,3,4,5,6,7,1597,1522,1637,1553,1562,1531,1631,1606
1619747752.1759312,0,1,2,3,4,5,6,7,1596,1522,1637,1554,1562,1530,1631,1605
1619747752.22912,0,1,2,3,4,5,6,7,1596,1522,1637,1553,1561,1530,1631,1604
1619747752.2744544,0,1,2,3,4,5,6,7,1596,1522,1637,1553,1560,1530,1631,1602
1619747752.3284857,0,1,2,3,4,5,6,7,1595,1522,1637,1552,1559,1530,1631,1601
1619747752.375823,0,1,2,3,4,5,6,7,1594,1522,1637,1552,1558,1530,1631,1600
1619747752.4277275,0,1,2,3,4,5,6,7,1595,1522,1637,1551,1557,1530,1631,1600
1619747752.4787517,0,1,2,3,4,5,6,7,1596,1522,1637,1553,1557,1530,1631,1599
1619747752.526727,0,1,2,3,4,5,6,7,1597,1522,1637,1555,1557,1530,1631,1599
1619747752.576608,0,1,2,3,4,5,6,7,1598,1522,1637,1553,1557,1531,1631,1601
1619747752.6311224,0,1,2,3,4,5,6,7,1598,1522,1638,1554,1557,1531,1630,1600
1619747752.6783798,0,1,2,3,4,5,6,7,1599,1522,1638,1553,1556,1531,1630,1602
1619747752.7309017,0,1,2,3,4,5,6,7,1600,1521,1638,1553,1556,1531,1630,1602
1619747752.7822464,0,1,2,3,4,5,6,7,1601,1521,1638,1552,1556,1531,1630,1604
1619747752.829514,0,1,2,3,4,5,6,7,1601,1521,1638,1553,1556,1531,1630,1604
1619747752.8814116,0,1,2,3,4,5,6,7,1602,1521,1638,1551,1555,1532,1629,1607
1619747752.9310315,0,1,2,3,4,5,6,7,1602,1521,1638,1551,1555,1532,1629,1607
1619747752.9804132,0,1,2,3,4,5,6,7,1602,1521,1639,1548,1554,1532,1629,1607
1619747753.028262,0,1,2,3,4,5,6,7,1600,1520,1639,1548,1553,1532,1629,1607
1619747753.078029,0,1,2,3,4,5,6,7,1599,1520,1639,1548,1552,1533,1628,1606
1619747753.1296756,0,1,2,3,4,5,6,7,1596,1520,1639,1547,1550,1533,1628,1605
1619747753.1768801,0,1,2,3,4,5,6,7,1595,1520,1639,1547,1548,1533,1628,1605
1619747753.2334914,0,1,2,3,4,5,6,7,1593,1520,1639,1547,1548,1533,1628,1603
1619747753.277197,0,1,2,3,4,5,6,7,1592,1520,1640,1547,1548,1534,1627,1602
1619747753.326988,0,1,2,3,4,5,6,7,1596,1519,1640,1547,1548,1534,1627,1607
1619747753.3867273,0,1,2,3,4,5,6,7,1596,1519,1640,1547,1548,1534,1627,1609
1619747753.42771,0,1,2,3,4,5,6,7,1597,1519,1640,1547,1548,1534,1627,1610
1619747753.480631,0,1,2,3,4,5,6,7,1599,1519,1640,1547,1548,1534,1627,1612
1619747753.5281289,0,1,2,3,4,5,6,7,1598,1519,1640,1548,1556,1534,1627,1612
1619747753.579107,0,1,2,3,4,5,6,7,1599,1519,1640,1548,1558,1534,1626,1612
1619747753.6281292,0,1,2,3,4,5,6,7,1604,1519,1641,1547,1555,1534,1627,1613
1619747753.6791,0,1,2,3,4,5,6,7,1604,1519,1641,1547,1557,1534,1627,1613
1619747753.7313783,0,1,2,3,4,5,6,7,1604,1519,1641,1547,1558,1534,1627,1613
1619747753.7799082,0,1,2,3,4,5,6,7,1605,1519,1641,1547,1559,1534,1627,1613
1619747753.8284166,0,1,2,3,4,5,6,7,1604,1519,1641,1547,1560,1534,1627,1613
1619747753.8779566,0,1,2,3,4,5,6,7,1604,1519,1640,1548,1560,1534,1627,1613
1619747753.9318545,0,1,2,3,4,5,6,7,1605,1519,1640,1547,1560,1534,1627,1613
1619747753.9804583,0,1,2,3,4,5,6,7,1603,1519,1640,1548,1561,1533,1627,1613
1619747754.0324183,0,1,2,3,4,5,6,7,1601,1519,1640,1548,1560,1533,1628,1613
1619747754.0918374,0,1,2,3,4,5,6,7,1601,1519,1640,1547,1560,1533,1628,1613
1619747754.1333468,0,1,2,3,4,5,6,7,1600,1520,1640,1548,1560,1533,1628,1612
1619747754.183546,0,1,2,3,4,5,6,7,1599,1520,1640,1548,1560,1533,1628,1612
1619747754.2384179,0,1,2,3,4,5,6,7,1597,1520,1639,1547,1559,1532,1628,1612
1619747754.2722454,0,1,2,3,4,5,6,7,1595,1520,1639,1547,1558,1532,1629,1612
1619747754.3510628,0,1,2,3,4,5,6,7,1592,1520,1639,1547,1558,1532,1629,1612
1619747754.3883822,0,1,2,3,4,5,6,7,1591,1520,1639,1547,1558,1532,1629,1610
1619747754.448044,0,1,2,3,4,5,6,7,1589,1521,1639,1547,1559,1532,1629,1609
1619747754.4819124,0,1,2,3,4,5,6,7,1589,1521,1639,1547,1560,1531,1630,1608
