Time,pins_0,pins_1,pins_2,pins_3,pins_4,pins_5,pins_6,pins_7,positive_width_us_0,positive_width_us_1,positive_width_us_2,positive_width_us_3,positive_width_us_4,positive_width_us_5,positive_width_us_6,positive_width_us_7
1619746865.756464,0,1,2,3,4,5,6,7,1616,1542,1616,1578,1557,1544,1618,1604
1619746865.7564778,0,1,2,3,4,5,6,7,1616,1542,1616,1577,1557,1544,1618,1604
1619746865.756511,0,1,2,3,4,5,6,7,1616,1542,1616,1577,1558,1544,1618,1605
1619746865.7565367,0,1,2,3,4,5,6,7,1616,1542,1617,1576,1558,1543,1618,1606
1619746865.7960768,0,1,2,3,4,5,6,7,1616,1542,1617,1575,1558,1543,1618,1607
1619746865.8378084,0,1,2,3,4,5,6,7,1616,1542,1617,1574,1557,1543,1618,1607
1619746865.8901184,0,1,2,3,4,5,6,7,1616,1541,1617,1573,1557,1543,1619,1608
1619746865.9383323,0,1,2,3,4,5,6,7,1616,1541,1617,1570,1556,1543,1619,1608
1619746865.9864292,0,1,2,3,4,5,6,7,1616,1541,1617,1568,1555,1543,1619,1607
1619746866.0363443,0,1,2,3,4,5,6,7,1616,1541,1618,1566,1554,1542,1619,1606
1619746866.0872283,0,1,2,3,4,5,6,7,1616,1541,1618,1567,1552,1542,1619,1604
1619746866.134361,0,1,2,3,4,5,6,7,1615,1541,1618,1565,1550,1542,1619,1603
1619746866.1896245,0,1,2,3,4,5,6,7,1615,1541,1618,1563,1550,1542,1619,1601
1619746866.2365346,0,1,2,3,4,5,6,7,1615,1540,1618,1562,1549,1542,1620,1600
1619746866.2886746,0,1,2,3,4,5,6,7,1615,1540,1618,1560,1548,1542,1620,1600
1619746866.3368719,0,1,2,3,4,5,6,7,1615,1540,1618,1560,1548,1542,1620,1600
1619746866.3938446,0,1,2,3,4,5,6,7,1615,1540,1619,1560,1549,1541,1620,1602
1619746866.4392326,0,1,2,3,4,5,6,7,1615,1540,1619,1561,1550,1541,1620,1604
1619746866.4875576,0,1,2,3,4,5,6,7,1615,1540,1619,1561,1551,1541,1620,1606
1619746866.5362346,0,1,2,3,4,5,6,7,1615,1539,1619,1560,1552,1541,1621,1608
1619746866.5916715,0,1,2,3,4,5,6,7,1615,1539,1619,1560,1553,1541,1621,1610
1619746866.6393416,0,1,2,3,4,5,6,7,1615,1539,1620,1560,1555,1540,1621,1612
1619746866.6853526,0,1,2,3,4,5,6,7,1615,1539,1620,1559,1556,1540,1621,1612
1619746866.7368264,0,1,2,3,4,5,6,7,1615,1539,1620,1557,1555,1540,1621,1612
1619746866.789858,0,1,2,3,4,5,6,7,1615,1539,1620,1555,1554,1540,1621,1612
1619746866.839006,0,1,2,3,4,5,6,7,1615,1538,1620,1554,1553,1540,1622,1612
1619746866.8928068,0,1,2,3,4,5,6,7,1615,1538,1621,1608,1552,1539,1622,1611
1619746866.9395885,0,1,2,3,4,5,6,7,1615,1538,1621,1606,1551,1539,1622,1610
1619746866.9902873,0,1,2,3,4,5,6,7,1615,1538,1621,1605,1550,1539,1622,1609
1619746867.036312,0,1,2,3,4,5,6,7,1615,1538,1621,1603,1549,1539,1622,1608
1619746867.0872433,0,1,2,3,4,5,6,7,1615,1538,1621,1600,1548,1539,1622,1607
1619746867.1413383,0,1,2,3,4,5,6,7,1614,1537,1622,1597,1548,1538,1623,1604
1619746867.1898477,0,1,2,3,4,5,6,7,1614,1537,1622,1593,1548,1538,1623,1602
1619746867.2388475,0,1,2,3,4,5,6,7,1614,1537,1622,1592,1548,1538,1623,1601
1619746867.290126,0,1,2,3,4,5,6,7,1614,1537,1622,1590,1547,1538,1623,1600
1619746867.3431787,0,1,2,3,4,5,6,7,1614,1537,1622,1589,1547,1538,1623,1600
1619746867.390431,0,1,2,3,4,5,6,7,1614,1536,1623,1589,1548,1537,1624,1602
1619746867.4454968,0,1,2,3,4,5,6,7,1614,1536,1623,1588,1548,1537,1624,1604
1619746867.4909105,0,1,2,3,4,5,6,7,1614,1536,1623,1588,1548,1537,1624,1605
1619746867.539175,0,1,2,3,4,5,6,7,1614,1536,1623,1588,1548,1537,1624,1607
1619746867.5981426,0,1,2,3,4,5,6,7,1614,1536,1624,1588,1548,1536,1624,1609
1619746867.639227,0,1,2,3,4,5,6,7,1614,1535,1624,1588,1550,1536,1625,1612
1619746867.6910505,0,1,2,3,4,5,6,7,1614,1535,1624,1588,1551,1536,1625,1612
1619746867.7470825,0,1,2,3,4,5,6,7,1614,1535,1624,1587,1552,1536,1625,1612
1619746867.789368,0,1,2,3,4,5,6,7,1614,1535,1624,1585,1552,1536,1625,1612
1619746867.846758,0,1,2,3,4,5,6,7,1614,1535,1625,1585,1553,1535,1625,1612
