Time,pins_0,pins_1,pins_2,pins_3,pins_4,pins_5,pins_6,pins_7,positive_width_us_0,positive_width_us_1,positive_width_us_2,positive_width_us_3,positive_width_us_4,positive_width_us_5,positive_width_us_6,positive_width_us_7
1619752750.1827166,0,1,2,3,4,5,6,7,1584,1528,1620,1547,1568,1537,1634,1612
1619752750.1828146,0,1,2,3,4,5,6,7,1584,1528,1620,1547,1568,1537,1634,1612
1619752750.1828816,0,1,2,3,4,5,6,7,1583,1528,1620,1547,1567,1537,1634,1612
1619752750.1830847,0,1,2,3,4,5,6,7,1583,1529,1620,1547,1567,1537,1634,1612
1619752750.2294588,0,1,2,3,4,5,6,7,1584,1528,1620,1547,1566,1537,1634,1612
1619752750.2801673,0,1,2,3,4,5,6,7,1584,1529,1620,1547,1565,1537,1634,1611
1619752750.3298984,0,1,2,3,4,5,6,7,1584,1529,1620,1547,1564,1537,1634,1610
1619752750.3825548,0,1,2,3,4,5,6,7,1584,1529,1620,1547,1564,1537,1634,1609
1619752750.4414158,0,1,2,3,4,5,6,7,1582,1529,1619,1548,1567,1537,1634,1603
1619752750.479693,0,1,2,3,4,5,6,7,1582,1529,1619,1548,1566,1537,1634,1602
1619752750.5334668,0,1,2,3,4,5,6,7,1582,1529,1619,1548,1565,1537,1634,1601
1619752750.5788617,0,1,2,3,4,5,6,7,1582,1529,1619,1548,1564,1537,1634,1600
1619752750.630651,0,1,2,3,4,5,6,7,1583,1529,1619,1548,1563,1537,1634,1599
1619752750.6856372,0,1,2,3,4,5,6,7,1584,1529,1619,1548,1563,1537,1634,1599
1619752750.7323294,0,1,2,3,4,5,6,7,1589,1529,1620,1548,1559,1537,1634,1605
1619752750.7769809,0,1,2,3,4,5,6,7,1591,1529,1619,1548,1558,1537,1634,1605
1619752750.831945,0,1,2,3,4,5,6,7,1592,1529,1619,1548,1559,1537,1634,1606
1619752750.8797112,0,1,2,3,4,5,6,7,1594,1529,1619,1548,1559,1537,1634,1607
1619752750.9290538,0,1,2,3,4,5,6,7,1595,1529,1619,1548,1559,1537,1634,1607
1619752750.9794564,0,1,2,3,4,5,6,7,1597,1529,1619,1548,1559,1537,1634,1607
1619752751.0301454,0,1,2,3,4,5,6,7,1597,1529,1619,1548,1556,1537,1635,1605
1619752751.08082,0,1,2,3,4,5,6,7,1598,1529,1619,1548,1555,1537,1634,1604
1619752751.130573,0,1,2,3,4,5,6,7,1598,1529,1619,1548,1554,1537,1634,1603
1619752751.179975,0,1,2,3,4,5,6,7,1599,1529,1619,1549,1553,1537,1635,1602
1619752751.2287698,0,1,2,3,4,5,6,7,1600,1529,1619,1550,1552,1537,1635,1601
1619752751.2786584,0,1,2,3,4,5,6,7,1601,1529,1619,1550,1551,1537,1635,1600
1619752751.329346,0,1,2,3,4,5,6,7,1603,1529,1619,1552,1551,1537,1635,1601
1619752751.3782222,0,1,2,3,4,5,6,7,1605,1529,1619,1555,1551,1537,1635,1601
1619752751.4288013,0,1,2,3,4,5,6,7,1607,1529,1619,1556,1550,1537,1635,1601
1619752751.4773529,0,1,2,3,4,5,6,7,1608,1529,1619,1557,1550,1537,1635,1602
1619752751.5319533,0,1,2,3,4,5,6,7,1607,1529,1619,1554,1548,1537,1635,1599
1619752751.5787833,0,1,2,3,4,5,6,7,1605,1529,1619,1552,1548,1537,1635,1597
1619752751.628664,0,1,2,3,4,5,6,7,1603,1529,1619,1550,1548,1537,1635,1596
1619752751.6856306,0,1,2,3,4,5,6,7,1602,1529,1619,1548,1548,1537,1635,1595
1619752751.730243,0,1,2,3,4,5,6,7,1601,1529,1619,1548,1548,1537,1635,1595
