,0,1
0,2.5585673644536412e-12,8.878263523862534e-09
1,1.3515648054463556e-07,2.3084359673363615e-15
2,2.0918146853348905e-13,8.880427859393823e-09
3,1.3494306714556835e-07,2.6902353568035614e-15
4,1.763751186142728e-11,6.849703588242915e-09
5,4.680872502336489e-12,7.708969618760506e-09
6,2.248372779168119e-12,8.878550655257465e-09
7,2.543792295671262e-12,8.878277969135985e-09
8,6.153598247248863e-08,4.353003659196824e-14
9,1.3418181778600645e-07,3.4434149062735642e-15
10,1.2795639053820174e-07,1.4852620433935117e-14
11,5.042636859733339e-08,5.1361344037960213e-14
12,1.3488528263391678e-07,2.7921738280650026e-15
13,9.071732671499342e-11,5.926300369003471e-14
14,1.2984506765442672e-07,1.2667081988869693e-14
15,5.0426368742432236e-08,5.100405911182828e-14
16,5.1786466454014935e-08,4.899100721200553e-14
17,1.1979029509333173e-07,1.6255437975528035e-14
18,4.772525581148079e-08,5.231457883164453e-14
19,5.0129547909063894e-08,5.188780222561219e-14
20,1.3597443400276557e-07,4.786478703420008e-16
21,1.3484913838950362e-07,2.8441468210316254e-15
22,1.3640064345392825e-07,2.1668450843700559e-16
23,4.7609775024826905e-08,5.2488802323824675e-14
24,1.198379419026451e-07,1.539935371043234e-14
25,5.189172455188309e-08,4.504416513449825e-14
26,1.3280691462929192e-07,5.979727025091095e-15
27,1.3659732329333285e-07,1.7920000556283796e-16
28,5.066006307179343e-08,5.0955025335894125e-14
29,2.3079980223277513e-11,6.253706668235134e-11
30,1.3528636937299133e-07,2.102089021682144e-15
31,5.1302494401355534e-08,4.983420862266359e-14
32,2.201950079928821e-11,6.6017940691204534e-09
33,1.3367797885459967e-07,4.32331427771646e-15
34,3.023284579833424e-11,1.480454769014797e-13
35,1.1834965205335259e-07,1.6291935473260415e-14
36,4.7280339577916514e-08,5.309189118834443e-14
37,1.3445944753742245e-07,3.0909817975689974e-15
38,5.263260466632216e-08,4.406089369276585e-14
39,6.169038125685997e-08,1.7620500078053116e-14
