,0,1
0,6.965809079036725e-07,1.269174528817577e-13
1,1.927331913864771e-11,6.196174290713098e-07
2,5.149419047817436e-07,1.6324616133075287e-07
3,1.6241618507423524e-07,4.637433675914416e-07
4,1.9898436301278982e-07,4.3331141405479906e-07
5,6.10513370620955e-07,7.88175993890987e-08
6,5.949702490518483e-07,9.260373261311983e-08
7,1.723529378638924e-10,5.979183219309644e-07
8,2.1151317782089727e-07,4.2345306560393936e-07
9,1.7361908692079662e-08,5.840017956983001e-07
10,4.039981399390444e-07,2.6038446999135166e-07
11,3.9380460169628306e-07,2.686416441646681e-07
12,5.371493792475707e-07,1.4377195819123884e-07
13,6.670800222516243e-07,2.8447500228352483e-08
14,7.623656517393968e-09,5.91865044537726e-07
15,3.144003465446088e-07,3.362251392601736e-07
16,5.569908179566017e-07,1.2657403318330435e-07
17,5.306388060348114e-07,1.494460112570451e-07
18,5.076050884931319e-08,5.559582394454122e-07
19,2.9533948640987065e-07,3.530130976559817e-07
20,2.3291213936279598e-07,4.0518203140101604e-07
21,5.667555832471644e-07,1.1753256585371162e-07
22,3.5898152521345503e-07,3.0009100000812994e-07
23,6.763454168586366e-07,1.9288674673111428e-08
24,2.7200832431244103e-08,5.754235178782069e-07
25,2.4013345450844566e-07,3.987607793137063e-07
26,5.948211008565441e-08,5.499222598435597e-07
27,1.7734463279328131e-07,4.5195132524968473e-07
28,6.511016061363502e-07,4.178396972135809e-08
29,2.745466731157319e-07,3.707190181849002e-07
30,3.2289173745955815e-07,3.2938468031470666e-07
31,6.897950096460477e-07,6.316482745957204e-09
32,5.841663559776566e-07,1.0211960051876731e-07
33,4.435254324884559e-07,2.2580079405883056e-07
34,4.36518863000912e-07,2.3159342828154443e-07
35,6.592295368040884e-08,5.434912080366081e-07
36,4.871407801833848e-07,1.8789941576662896e-07
37,1.4879922890841723e-07,4.750027399592474e-07
38,2.8644203968846976e-07,3.603000245070688e-07
39,5.476998682128288e-07,1.3495134431415042e-07
40,9.904893091079014e-08,5.162451658285166e-07
41,3.8646880649298477e-07,2.751256005533216e-07
42,6.418361137804361e-07,5.087789954118036e-08
43,3.650066939591357e-07,2.9333051436921034e-07
44,9.32413326634325e-08,5.221862330351127e-07
45,1.8662711108771892e-07,4.4360952507205604e-07
46,4.2928895928742516e-07,2.3794442006641066e-07
47,5.761978351387051e-07,1.091823648728971e-07
48,5.087826428278463e-07,1.6874809867105238e-07
49,6.204917038062833e-07,6.948396961825128e-08
50,6.381629726201972e-07,5.342286415285702e-08
51,1.9014441180194204e-07,4.408379143901221e-07
52,2.8115725068998784e-07,3.6448740997755784e-07
53,4.652709155937257e-07,2.067564119394517e-07
54,5.027582816193817e-07,1.742240041914835e-07
55,3.237556806138075e-08,5.709994879896515e-07
56,1.321114770966452e-07,4.899469401657492e-07
57,3.406660266536562e-07,3.143156948130961e-07
58,4.31613473424667e-08,5.628785340254153e-07
59,3.336619890824173e-07,3.2101594240918695e-07
60,3.7099264142986643e-07,2.879885941816502e-07
61,7.372056812351132e-08,5.382579592742053e-07
62,6.596382103844987e-07,3.52393001018708e-08
63,7.802117561960044e-08,5.347199979575369e-07
64,5.902135784024422e-07,9.657738322443725e-08
65,4.1133150682878196e-07,2.5354313776902707e-07
66,3.059124830018895e-07,3.434160483062197e-07
67,2.246655241884586e-07,4.119928023958312e-07
68,2.4777960778037496e-07,3.9242726428273934e-07
69,2.186171567197775e-07,4.168364914764647e-07
70,6.151296529374878e-07,7.431306664344667e-08
71,1.0657657411174558e-07,5.101797111249875e-07
72,3.290134312371443e-07,3.2382018698609594e-07
73,6.295578467916534e-07,6.130220940459779e-08
74,3.911433129378291e-08,5.654787224948406e-07
75,2.5115012314862955e-07,3.9022937711035054e-07
76,1.3945611175270395e-07,4.831893540682797e-07
77,3.806289601392889e-07,2.8017196511622005e-07
78,6.754307218626138e-07,1.99009735258946e-08
79,1.0952161432232398e-07,5.075092258192268e-07
80,2.585767403889839e-07,3.843846428740343e-07
81,4.804148139451043e-07,1.9432754246223017e-07
82,5.720960059998917e-07,1.1321392715239692e-07
83,4.201219902783174e-07,2.4636960261485755e-07
84,5.509640348782706e-07,1.3206277377327377e-07
85,4.238721773216288e-07,2.425123303655226e-07
86,3.7621984948157635e-07,2.835641284557859e-07
87,4.5069450168702444e-07,2.1936314814116774e-07
88,1.2461735936015234e-07,4.963014992805107e-07
89,1.7101131391801719e-07,4.569089829840344e-07
90,1.418923349220972e-07,4.810272520336592e-07
91,2.66625485930097e-07,3.769647210561867e-07
92,3.445485699566265e-07,3.1060757682064437e-07
93,3.4984889085106135e-07,3.0640769570304513e-07
94,3.019307918967981e-07,3.4678373187374113e-07
95,4.145199398179933e-07,2.508547112557736e-07
96,1.1688410981798501e-07,5.021131410441071e-07
97,4.77507018090248e-07,1.9636915176184448e-07
98,8.461331324195353e-08,5.286940885593936e-07
99,4.938868665734998e-07,1.8198520971548417e-07
