,0
0,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1c9356250>
1,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1c939f4c0>
2,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1c9356f40>
3,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1c9356fa0>
4,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1cbc11dc0>
5,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1cb61afd0>
6,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1cb46d7c0>
7,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1cb61ad60>
8,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1cbb9ffa0>
9,<pymoo.algorithms.nsga2.NSGA2 object at 0x7ff1cb6922e0>
